Artist,Song,Album,Format,Label
Mose Allison,“Powerhouse”,Mose in your ear,LP Album,(Atlantic 1972)
Gato Barbieri,“Para Nosotros”,No Energy Crisis,LP Album,(ABC Impulse 1973)
Donald Byrd,“Star Eyes”,Long Green: The Savoy Sessions,LP Album,(Arista 1976)
J.J. Johnson,“Blues for Trombones”,Mad Bebop,LP Album,(Arista 1954)
The Don Pullen George Adams Quartet,“Mr. Smoothie”,Breakthrough,LP Album,(Blue Note 1986)
Billy Cobham's Glass Menagerie,“Chiquita Linda”,Observations &amp;,LP Album,(Elektra 1982)
Pat Metheny With Charlie Haden &amp; Billy Higgins,“Blues for Pat”,rejoicing,LP Album,(ECM 1984)
Charlie Haden Jan Garbarek Egberto Gismonti,“Spor”,Magico,LP Album,(ECM 1980)
Oregon,“Alpenbridge”,Crossing,LP Album,(Universal Music Classics &amp; Jazz 1985)
Simon &amp; Bard Group,“A Boy and His Dog”,The Enormous Radio,LP Album,(Flying Fish Records 1984)
The Durutti Column,“Blind Elevator Girl”,Valuable Passages,LP Album,(Relativity Records 1986
Artist,Song,Album,Format,Label
Gil Scott Heron,“Spirits”,spirits,LP Album,(TVT Records 1994)
Dadisi Komolafe,“Speak No Evil”,Hassan's Walk,LP Album,(nimbus records 1983)
Don Cherry,“The Creator has a Master Plan”,Live In Ankara,LP Album,(Sonet Gramofon 1969)
"Eric Dolphy, Booker Ervin With Mal Waldron",“Fire Waltz”,The Quest,LP Album,(prestige 1972)
The Zawinul Syndicate,“Carnavalito”,Black Water,LP Album,(Columbia Records 1989)
Carlos Santana,“Nueva York”,Shango,LP Album,(CBS sonymusic.com/ 1982)
Sonny Rollins,“Kilauea”,Sunny Days Starry Nights,LP Album,(Fantasy 1984)
David Amram &amp; Friends,“Blue Bomba”,Latin Jazz Celebration,LP Album,(Elektra 1983)
Mongo Santamaria,“Day Tripper”, from,Soca Me Nice,LP Album
Papaya,“Favela”,Papaya,LP Album,(Jerden Records 1980)
"Dexter Gordon, Wardell Gray, Sonny Criss, Hampton Hawes, Barney Kessel, Howard McGhee, Al Killian",“Disorder At The Border”,Jazz Concert - West Coast,LP Album,(Sav
Hank Jones,“Bossa Nouveau”,Just for Fun,LP Album,(galaxy 1977)
Shelly Manne,“Body and Soul”,Essence,LP Album,(galaxy 1977)
Stan Getz,“Captain Marvel”,The Lyrical Stan Getz,LP Album,(Columbia 1988)
George Duke,“Up From The Sea It Arose And Ate Rio In One Swift Bite”,A Brazilian Love Affair,LP Album,(Epic/Legacy sonymusic.com/ 1980)
The Barney Kessel Trio,“Mermaid”,Jellybeans,LP Album,(Concord 1981)
Kenny Dorham,“Poetic”,But Beautiful,LP Album,(Milestone 1976)
Mal Waldron,“Pot Pourri”,One and Two,LP Album,(prestige 1976)
Keith Jarrett,“Spirits #21”,Promotional Disc PC-1,LP Album,(Polygram 1985)
Oscar Peterson,“A Little Jazz Exercise”,TRACKS,LP Album,(BASF 1974)
Abdullah Ibrahim,“Black and Brown Cherries (Live)”,South Africa,CD Album,(ENJA RECORDS Matthias Winckelmann 1986)
Headless Household,“Rhythm Truck”,Headless Household,LP Album,(Household Ink Records 1987)
World Saxophone Quartet,“Sittin' On the Dock of the Bay”,Rhythm and Blues,LP Album,(Elektra 1989)
Buck Clayton,“All The Cats Join In”,Jam Sessions from the Vault,LP Album,(Columbia 1988)
"J.J. Johnson - Kai Winding - Bennie Green With Sonny Rollins, John Lewis (2), Gerry Mulligan, Art Blakey",“Sometimes I'm Happy”,Early Bones,LP Comp,(prestige 1976)
Jon Faddis,“Little Jazz”,Legacy,LP Album,(Concord 1985)
Chico Hamilton,“Abdullah's Delight”,Chico Hamilton and the Players,LP Album,(Blue Note 1976)
Archie Shepp And The New York Contemporary Five,“Where Poppies Bloom”,New Music: Second Wave,LP Album,(Savoy 1979)
The Brecker Brothers,“Keep It Steady (Brecker Bump)”,Back to Back,LP Album,(Arista 1976)
Grover Washington Jr.,“Black Frost”,Mister Magic,LP Album,(Kudu 1974)
Bill Connors,“Frog Stroke”,Swimming With a Hole In My Body,LP Album,(ECM 1980)
"Kenny Wheeler, Keith Jarrett, Dave Holland &amp; Jack DeJohnette",“Smatter”,Gnu High,LP Album,(ECM 1976)
Steve Reid,“Center of the Earth”,Rhythmatism,LP Album,(universal sound 2004)
Steve Lacy &amp; Michael Smith,“Time 2”,sidelines,LP Album,(improvising artists 1977)
George Cables / Warren Gale / John Handy / Eddie Marshall / Mel Martin / Frank Tusa,“Moon Magic”,Bebop and Beyond,LP Album,(Concord 1984)
Joe Albany &amp; Niels-Henning Ørsted Pedersen,“Lullaby in Rhythm”,Two's Company ...,LP Album,(Inner City Records 1974)
Hampton Hawes,“Sunny”,Hampton Hawes at the Piano,LP Album,(Contemporary Records 1978)
The Dave Brubeck Quartet,“Benjamin”,Concord On a Summer Night,LP Album,(Concord Records www.downtownmusic.com/ 1982)
Jack DeJohnette,“Ahmad the Terrible”,The Jack DeJohnette Piano Album,LP Album,(Landmark 1985)
Bobby Enriquez,“Gee Baby Ain't I Good to You”,Wild Piano,LP Album,(CBS sonymusic.com/ 1988)
Bolling Band,“Magenta Haze”,"Bolling Band Plays Ellington Music, Vol. 1",LP Album,(CBS sonymusic.com/ 1987)
Freddie Hubbard,“Breaking Point”,Rollin,LP Album,(pausa records 1981)
Buddy Tate and the Muse All Stars,“Candy”,Live At Sandy's,LP Album,(muse records 1980)
Rashaan Roland Kirk,“Slow Groove”,Early Roots,LP Album,(bethlehem 1976)
Frank Foster &amp; Frank Wess,“Heat of Winter”,Two For The Blues,LP Album,(Pablo 1984)
Benny Carter and His Orchestra,“Blue Star”,Further Definitions,LP Album,(MCA Impulse 1986)
McCoy Tyner,“Just In Time”,Dimensions,LP Album,(Elektra 1984)
